PAC,long,lat
3830321438424478,-38.42447799975986,-3.830321400412231
3830321438424478,-38.424403999944616,-3.8306198997884735
3830321438424478,-38.424242999714636,-3.8312745001180133
3830321438424478,-38.4241279998073,-3.831917300443024
3830321438424478,-38.424036000061335,-3.832598199647123
3833184838424067,-38.42406699969223,-3.8331848004381186
3792495038472522F,-38.47252200029004,-3.7924949996444752
3792457438471814,-38.471814000016025,-3.792457399889031
3833391638424105,-38.42410499964598,-3.833391600441985
3823998438434266,-38.434265999676086,-3.8239984002059373
3807465438460215,-38.460215000222036,-3.807465400407864
3823230938453658,-38.45365800001662,-3.8232308998860844
3808995438471126,-38.471125999765036,-3.8089953999177055
3808995438471126,-38.471100000364686,-3.8093658999163154
3825340538462183,-38.462183000145274,-3.825340499864126
3792490538472530,-38.472529999759615,-3.792490500336271
3792524438472471,-38.4724709997368,-3.792524400280797
3792524438472471,-38.471814000016025,-3.792457399889031
3807544038470691F,-38.47080100006605,-3.8078571999497512
3807537838470693,-38.47069100038931,-3.807544000255348
3829758438458307F,-38.45809100029936,-3.830048699887527
3829758438458307F,-38.45767299990899,-3.8306117995948057
3829758438458307F,-38.45719799958795,-3.8312464997261486
3829758438458307F,-38.45680200021212,-3.8317875003928066
3807853138468335,-38.468351000398286,-3.807845599594714
3818436538435285,-38.43528299981057,-3.8184300004440956
3807064638458392,-38.457982999815556,-3.806990900109895
3807064638458392,-38.45761399988612,-3.806918400363827
3807064638458392,-38.456865000419384,-3.806744400433672
3807064638458392,-38.456413000259715,-3.806657099645406
3822496438467357,-38.467433000332676,-3.8217494997395534
3824651238464964,-38.46505899967303,-3.8243737997110543
3824373838465059F,-38.465218999856916,-3.8241524999378953
3823909738465314,-38.46550000022478,-3.823641499755354
3823641538465500,-38.46561800027047,-3.823397400369686
3822552138467311,-38.46814199975347,-3.822630800271156
3822552138467311,-38.46735700042518,-3.8224964001886974
3823349238433911,-38.43391699976968,-3.823347700236127
3813437938425591,-38.4256000002398,-3.813564199628047
3813368738425586F,-38.42557900017067,-3.8133613998086844
3808624738471984F,-38.47210499994577,-3.8086207999099315
3808989338471906,-38.47197300015381,-3.808857600397914
3808949638471204,-38.471203999764725,-3.808949600143876
3808949638471204,-38.47190599976204,-3.8089892998162895
3808995438471126,-38.471203999764725,-3.808949600143876
3807845638468351F,-38.468385000167586,-3.8078263001435744
3822561938422934F,-38.422939999881066,-3.8225248997043195
3823352238424592F,-38.42446299996743,-3.823542600410633
3823577938424261,-38.42404999980761,-3.8233652999685432
3823577938424261,-38.423628000132055,-3.8229746002975276
