
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                              Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

3807896638470064                     8.05       1.01     0.0463     0.5751   0.04326    0.5374
3807851538470063                     8.05       1.01     0.0463     0.5751   0.04326    0.5374
3807841338470063                     8.05       1.01     0.0463     0.5751   0.04326    0.5374
3831308938462298                    8.328      1.045    0.03071     0.3687    0.0263    0.3158
3831313738462305                    8.328      1.045    0.03071     0.3687    0.0263    0.3158
3829803738458043                    8.373      1.051    0.02644     0.3158    0.0263    0.3141
3829758438458307                    8.373      1.051    0.02644     0.3158    0.0263    0.3141
3821995338452547f                    8.39      1.053    0.02678     0.3192    0.0263    0.3135
3820453538451745f                   8.397      1.054    0.02724     0.3244    0.0263    0.3132
3819960338453227                    8.397      1.054    0.02722     0.3242    0.0263    0.3132
3819863738422256                     8.41      1.056    0.01496     0.1778   0.02667    0.3171
3819481138422273                    8.411      1.056      0.015     0.1783   0.02667    0.3171
3821334038421808                    8.408      1.055    0.01479     0.1759   0.02667    0.3172
3821772638421692                    8.408      1.055    0.01479     0.1759   0.02667    0.3172
3805868038451944f                    8.05       1.01    0.02692     0.3345   0.06041    0.7505
3822251838422718                    8.403      1.055    0.01438     0.1711   0.02667    0.3174
3822343438422686                    8.403      1.055    0.01438     0.1711   0.02667    0.3174
3822580838425420                    8.393      1.053    0.01355     0.1615   0.02667    0.3178
3822118738426049                    8.392      1.053     0.0135     0.1609   0.02667    0.3178
3821606338423007                    8.403      1.055    0.01438     0.1711   0.02667    0.3174
3823259738424646                    8.394      1.054    0.01364     0.1625   0.02667    0.3177
3822916938424845                    8.393      1.053    0.01361     0.1621   0.02667    0.3177
3822916938424845f                   8.393      1.053    0.01361     0.1621   0.02667    0.3177
3822926538424977                    8.393      1.053    0.01359      0.162   0.02667    0.3177
3821273538422103f                   8.406      1.055    0.01469     0.1748   0.02667    0.3172
3821273538422103                    8.406      1.055    0.01469     0.1747   0.02667    0.3172
3821506738422698                    8.404      1.055    0.01448     0.1723   0.02667    0.3173
3822746938425208                    8.393      1.053    0.01357     0.1617   0.02667    0.3178
3822681638425148f                   8.393      1.053    0.01357     0.1617   0.02667    0.3178
3821621138423929                    8.392      1.053    0.01358     0.1618   0.02667    0.3178
3822681638425148                    8.393      1.053    0.01357     0.1617   0.02667    0.3178
3823176538425453f                   8.393      1.053    0.01356     0.1615   0.02667    0.3178
3824474538425830                    8.392      1.053    0.01352     0.1611   0.02667    0.3178
3823176538425453                    8.393      1.053    0.01356     0.1615   0.02667    0.3178
